X,X1,X2,X3,X4,Q,Grate,Crate,Prate,last,DATE
G,P,C,P,G,0,0.416666667,0.291666667,0.291666667,G,1997/2/9
P,G,P,C,P,0,0.333333333,0.333333333,0.333333333,C,1997/2/16
C,P,G,P,C,0,0.388888889,0.388888889,0.222222222,C,1997/2/23
G,C,P,G,P,0,0.466666667,0.266666667,0.266666667,G,1997/3/2
C,G,C,P,G,0,0.333333333,0.333333333,0.333333333,P,1997/3/9
G,C,G,C,P,0,0.444444444,0.111111111,0.444444444,P,1997/3/16
P,G,C,G,C,0,0.166666667,0.166666667,0.666666667,P,1997/3/23
P,P,G,C,G,0,0.333333333,0.333333333,0.333333333,C,1997/3/30
C,P,P,G,C,1,0.333333333,0.333333333,0.333333333,C,1997/4/6
G,C,P,P,G,0,0.361111111,0.277777778,0.361111111,G,1997/4/13
C,G,C,P,P,0,0.303030303,0.303030303,0.393939394,P,1997/4/20
P,C,G,C,P,0,0.333333333,0.233333333,0.433333333,P,1997/4/27
P,P,C,G,C,0,0.37037037,0.259259259,0.37037037,G,1997/5/4
G,P,P,C,G,0,0.416666667,0.291666667,0.291666667,G,1997/5/11
C,G,P,P,C,0,0.333333333,0.333333333,0.333333333,C,1997/5/18
P,C,G,P,P,0,0.388888889,0.222222222,0.388888889,P,1997/5/25
C,P,C,G,P,0,0.466666667,0.266666667,0.266666667,G,1997/6/1
G,C,P,C,G,0,0.583333333,0.083333333,0.333333333,G,1997/6/8
G,G,C,P,C,0,0.444444444,0.111111111,0.444444444,P,1997/6/15
P,G,G,C,P,0,0.166666667,0.166666667,0.666666667,P,1997/6/22
C,P,G,G,C,0,0.333333333,0.333333333,0.333333333,C,1997/6/29
C,C,P,G,G,2,0.333333333,0.333333333,0.333333333,G,1997/7/6
G,C,C,P,G,0,0.363636364,0.272727273,0.363636364,G,1997/7/13
P,G,C,C,P,0,0.3,0.3,0.4,P,1997/7/20
G,P,G,C,C,0,0.333333333,0.333333333,0.333333333,C,1997/8/3
C,G,P,G,C,0,0.25,0.375,0.375,C,1997/8/10
G,C,G,P,G,0,0.285714286,0.285714286,0.428571429,P,1997/8/17
P,G,C,G,P,0,0.166666667,0.333333333,0.5,P,1997/8/24
P,P,G,C,G,0,0.2,0.4,0.4,C,1997/8/31
C,P,P,G,C,0,0.25,0.5,0.25,C,1997/9/7
G,C,P,P,G,0,0.333333333,0.333333333,0.333333333,G,1997/9/14
C,G,C,P,P,0,0,0.5,0.5,P,1997/9/21
P,C,G,C,P,0,0,0,1,P,1997/9/28
C,P,C,G,C,3,0.333333333,0.333333333,0.333333333,G,1997/10/5
C,C,P,C,G,0,0.361111111,0.277777778,0.361111111,G,1997/10/12
G,C,C,P,C,0,0.393939394,0.212121212,0.393939394,G,1997/10/19
P,G,C,C,P,0,0.333333333,0.233333333,0.433333333,P,1997/10/26
C,P,G,C,C,0,0.37037037,0.259259259,0.37037037,C,1997/11/2
G,C,P,G,C,0,0.416666667,0.166666667,0.416666667,G,1997/11/9
C,G,C,P,G,0,0.333333333,0.19047619,0.476190476,P,1997/11/16
P,C,G,C,P,0,0.388888889,0.055555556,0.555555556,P,1997/11/23
G,P,C,G,C,0,0.466666667,0.066666667,0.466666667,G,1997/11/30
G,G,P,C,G,0,0.333333333,0.083333333,0.583333333,C,1997/12/7
P,G,G,P,C,0,0.111111111,0.111111111,0.777777778,C,1997/12/14
C,P,G,G,P,0,0.166666667,0.166666667,0.666666667,C,1997/12/21
P,C,P,G,G,0,0.333333333,-0.666666667,1.333333333,G,1997/12/28
C,P,C,P,G,4,0.333333333,0.333333333,0.333333333,G,1998/1/4
G,C,P,C,P,0,0.361111111,0.277777778,0.361111111,G,1998/1/11
P,G,C,P,C,0,0.303030303,0.303030303,0.393939394,P,1998/1/18
P,P,G,C,P,0,0.333333333,0.333333333,0.333333333,C,1998/1/25
G,P,P,G,C,0,0.37037037,0.37037037,0.259259259,C,1998/2/1
C,G,P,P,G,0,0.291666667,0.416666667,0.291666667,C,1998/2/8
C,C,G,P,P,0,0.333333333,0.333333333,0.333333333,P,1998/2/15
G,C,C,G,P,0,0.388888889,0.222222222,0.388888889,P,1998/2/22
P,G,C,C,G,0,0.266666667,0.266666667,0.466666667,P,1998/3/1
P,P,G,C,C,0,0.333333333,0.333333333,0.333333333,C,1998/3/8
C,P,P,G,C,0,0.444444444,0.444444444,0.111111111,C,1998/3/15
G,C,P,P,G,0,0.666666667,0.166666667,0.166666667,G,1998/3/22
P,G,C,P,P,0,0.333333333,0.333333333,0.333333333,P,1998/3/29
C,P,G,C,P,1,0.333333333,0.333333333,0.333333333,C,1998/4/5
C,C,P,G,C,0,0.361111111,0.277777778,0.361111111,G,1998/4/12
G,C,C,P,G,0,0.393939394,0.212121212,0.393939394,G,1998/4/19
P,G,C,C,P,0,0.333333333,0.233333333,0.433333333,P,1998/4/26
C,P,G,C,C,0,0.37037037,0.259259259,0.37037037,C,1998/5/3
P,C,P,G,C,0,0.416666667,0.166666667,0.416666667,G,1998/5/10
G,P,C,P,G,0,0.476190476,0.19047619,0.333333333,G,1998/5/17
G,G,P,C,P,0,0.388888889,0.222222222,0.388888889,C,1998/5/24
C,G,G,P,C,0,0.266666667,0.266666667,0.466666667,C,1998/5/31
P,C,G,G,P,0,0.333333333,0.083333333,0.583333333,P,1998/6/7
C,P,C,G,G,0,0.444444444,0.111111111,0.444444444,G,1998/6/14
